course,year,mean,median,stdev
MA100,2017,62.1,63.00,17.99
MA100,2018,62.00,60.60,18.80
MA100,2019,59.20,61.00,19.01
MA100,2020,65.20,66.00,14.35
MA100,2021,72.3,74.00,13.8
EC100,2017,62.20,62.00,12.25
EC100,2018,65.20,66,10.20
EC100,2019,66.20,67,10.44
EC100,2020,66.80,68,10.57
EC100,2021,69.60,71,9.64
EC102,2017,59.60,60,9.69
EC102,2018,60.50,60,12.26
EC102,2019,63.60,65,13.62
EC102,2020,68.30,69,10.97
EC102,2021,69.70,71,12.25
ST102,2017,65.40,68,20.11
ST102,2018,65.9,71,20.49
ST102,2019,67.8,71,19.85
ST102,2020,74.7,75,10.21
ST102,2021,68.9,70,15.11